Label,variant,vaccine,vaccine_num,booster_num,dose,endpoint,t_min,t_max,control_I,case_I,VE,N,L95,U95,Age
AZ,2,AZ,1,0,2,2,14,174,390,5,55.3,3,-20.1,83.3,65+
AZ,2,AZ,1,0,2,2,175,189,4456,88,56.3,44,39.6,68.3,65+
AZ-PF,2,AZ-PF,1,2,3,2,7,13,1872,3,93,23,77.5,97.8,65+
AZ-PF,2,AZ-PF,1,2,3,2,14,34,14166,21,93.5,200,89.3,96,65+
AZ-PF,2,AZ-PF,1,2,3,2,35,69,35872,137,92.7,540,90.3,94.6,65+
AZ-PF,2,AZ-PF,1,2,3,2,70,84,14449,154,91,447,88.1,93.3,65+
AZ-PF,2,AZ-PF,1,2,3,2,105,119,2602,71,82.9,130,75.4,88.1,65+
AZ-MD,2,AZ-MD,1,3,3,2,14,34,3472,2,98.1,50,92.1,99.5,65+
AZ-MD,2,AZ-MD,1,3,3,2,35,69,3445,10,94.9,130,90,97.4,65+
AZ-MD,2,AZ-MD,1,3,3,2,70,84,775,5,89.6,28,73.8,95.9,65+
PF,2,PF,2,0,1,2,0,27,151,2,76.1,2,-8.9,94.7,65+
PF,2,PF,2,0,1,2,28,42,324,6,78,14,47.7,90.8,65+
PF,2,PF,2,0,2,2,14,174,569,8,85.8,31,69.4,93.4,65+
PF,2,PF,2,0,2,2,175,189,1792,28,75.6,51,61.4,84.6,65+
PF-PF,2,PF-PF,2,2,3,2,7,13,882,2,90.1,9,58.6,97.6,65+
PF-PF,2,PF-PF,2,2,3,2,14,34,6805,4,97.4,94,92.8,99.1,65+
PF-PF,2,PF-PF,2,2,3,2,35,69,26699,113,91.7,431,88.8,93.9,65+
PF-PF,2,PF-PF,2,2,3,2,70,84,18863,260,90.2,464,87.2,92.5,65+
PF-PF,2,PF-PF,2,2,3,2,105,119,4379,113,88,243,83.4,91.4,65+
PF-MD,2,PF-MD,2,3,3,2,7,13,241,1,89,2,17.2,98.5,65+
PF-MD,2,PF-MD,2,3,3,2,14,34,1076,4,91.2,26,75.5,96.9,65+
AZ-AZ,2,AZ,1,1,3,2,7,28,52,18,82.3,29,64.2,91.3,65+
